topik	text
5	Bár mi rendőrt egész Indiában alig láttunk azért nem árt a nemzetközi jogosítvány , mivel állítólag a turisták ellenőrzése a rendőrök kedvenc keresetkiegészítése .
2	Utána csendrendelet van , úgyhogy a Goát híressé tevő napkeltéig tartó tengerpartiknak befellegzett .
4	Csodaszép kis utak vannak és Goa az egyetlen állam ahol autót és motort is lehet sofőr nélkül bérelni , érdemes ezt kihasználni .
8	Nagyon szép udvara volt , úgyhogy három nap múlva visszamentünk , bár nem panaszkodhattunk az Alidia Beach Cottage-re sem , ahol addig kihúztuk egy kedves 700 ruppós házikóban .
4	A mozdoki katonai repülőtéren sürgősen összehívták a Csecsen Köztársaságban kialakult helyzetet vizsgáló tanácskozást , amelyen részt vett Igor Szergejev honvédelmi miniszter , Vlagyimir Rusajlo belügyminiszter , Viktor Kazancev .
3	Az államfő hangsúlyozta , hogy ott , ahol létrehozták ezeket a szerveket , nem voltak hatalmas áldozatok , Ahmed Kadirov pedig nemrég kijelentette , hogy tudja azt , kik az igazi banditák .
2	Az állománytáblán szolgálati macska nem szerepel A lap cikke nyomán 14 állampolgár ajánlotta fel , hogy macskát adományoz a BRFK-nak , azonban a rendőrség nem tudja elfogadni a felajánlott négylábúakat .
4	Ezeket az L-39-es Albatroszokból - szintén sugárhajtású - gyakorlógépekből fejlesztették tovább .
10	: A Belga Légierő gépe leszálláskor összetört a pilóta hibájából .
10	1999. szeptember 23. : a Holland Légierő F-16-os zuhant le az Északi Tenger felett , gyakorlórepülés közben , a pilóta katapultált .
10	"2000. március : egy amerikai légishow-n a , Angel "" bemutató-kötelék egyik F-16-osa zuhant le egy manőver közben , a tapasztalt pilóta életét"
5	Amerikai F16-osokA nagykövetség nem lobbizik egyik gép eladásának ügyében sem Az Egyesült Államok budapesti nagykövetségének illetékese - őt azért kerestük meg , mert a gépeladásról csak az amerikai kormányzat tárgyalhat - az Indexnek úgy nyilatkozott , hogy nincs tudomásuk arról , hogy amerikai cégek megkeresték volna a magyar miniszterelnököt a vadászgépeladások ügyében .
4	2000 igencsak jó éve az LM-nek .
5	A repülőgép-eladások kormányközi tárgyalások eredményeként jönnek létre Ugyanakkor Jim Fetig megjegyezte : a repülőgép-eladások kormányközi tárgyalások eredményeként jönnek létre , így a Lockheed alkalmazottai - ha bármiről is tárgyaltak , vagy megkísérelték a tárgyalást a miniszterelnökkel - , az nem lehetett az F-16-os vadászbombázók eladása .
2	Szlovénia kis ország , ezért nem engedheti meg magának a drága F-16-osok vagy F-18-asok vásárlását - mondta az ezredes .
10	: Az Amerikai Légierő F-16-osa lezuhan a Jugoszlávia elleni NATO-csapás alatt .
2	Szabó János honvédelmi miniszterA szándéknyilatkozat csupán erkölcsi kötelezettséget jelent a MiG-ek felújítására Szabó János honvédelmi miniszter szerint még nincs végleges döntés a MiG-felújításról , illetve az új amerikai vadászgépek beszerzéséről .
4	A Magyar Televízió és a UPC Broadcast Centre 23.5 millió német márka ( 3.125 milliárd forint ) plusz áfa összegért megvásárolta a magyar NB I-es labdarúgó-mérkőzések közvetítési jogát a 2000 / 03-as idényekre .
4	"A megbeszélés után Kazancev kijelentette az újságíróknak , hogy "" a Kadirov és Gantamirov közötti konfliktust feloldottuk ."
4	A brit diplomácia vezetője szerint a felvételre várókat saját teljesítményük alapján kell elbírálni , és az élen haladókat - köztük Magyarországot - nem szabad megvárakoztatni a felkészülésben elmaradottabbak miatt .
4	A Külügyminisztériumban tartott külképviseleti találkozó díszvendégeként Cook elmondta , Nagy-Britannia továbbra is elkötelezett híve hazánk minél hamarabbi EU-csatlakozásának , és az Uniónak saját felkészülésében tartania kell magát a helsinki csúcson megjelölt 2003-as határidőhöz .
4	Együttműködési megállapodást írtak ma alá az Egyesült Államokban a koszovói albán és szerb közösségek legfőbb vezetői .
4	Gegesy Ferenc az Indexnek elmondta : az Új Nemzeti beruházása - amely 15 milliárd forintba kerül - kiegészül a Soroksári úti területen a Demján Sándor nevével fémjelzett többi Trigránit-beruházással .
4	A temelini erőmű A dél-csehországi Temelinben gyakorlatilag elkészült az épülő atomerőmű első reaktora , miután már a hónap elején feltöltötték a létesítményt fűtőelemekkel ( rudakkal ) - adta hírül a Der Standard osztrák napilap .
5	Az építők szerint a temelini erőmű minden szempontból megfelel majd a világ legfejlettebb országaiban érvényes biztonsági szabványoknak , de ez Csernobil után nem nyugtatja meg az érintetteket .
10	A tűz nem fenyegetett nagyobb veszéllyel , a Katasztrófavédelmi Igazgatóság ügyeletesének tájékoztatása szerint nincs súlyos esetről szó .
10	A Duna Plazában szerda délután ütött ki a tűz , a balesetben egy ember sérült meg .
10	Indiában , a világ legsűrűbben lakott kontinensén , több millió ember vált hajléktalanná a monszun okozta özönvizekben .
9	Csak semmi hisztéria , kérlek szépen , fotót itt nem lehet csinálni , nem tudnánk hova állni , elmosta a placcot a víz , viszont , nézd csak , bosszantó , nem pattog már megint az a csávó , az a bajuszos , hogy is hívják , kapcsolj csak át , Tony , a buzija , majd jól megbombázzuk őket is , hova is tettem a külügyminiszterem .
5	Ebben az országban is a hadsereg próbálkozik az emberek és állatok mentésével , de a kitelepítés itt lényegesen nagyobb lakossági ellenállásba ütközik , mint az USA-ban .
10	A helyi időjárási viszonyok szerint a szokásos évi áradási szezon májusban van , ebben az évben azonban a tavaszi csapadékos idő hónapokat késett , így augusztusban minden idők legnagyobb áradását okozta Indiában .
3	"Samil Beno feljelentést akar tenni Luzskov ellen "" egy egész nép becsületének és tisztességének megsértéséért "" ."
5	"Az orosz mediumokban egyre több bírálat éri Jurij Luzskov főpolgármestert és más politikusokat , akik nyilatkozataikban a "" csecsen szálról "" beszéltek anélkül , hogy komoly bizonyítékokkal rendelkeznének ."
2	Nagyon kevés hajó harckész állapotú , a Kuznyecov admirális repülőgép-anyahajó - valamikor a flotta büszkesége - pénzhiány miatt olyan kevés alkalommal fut ki a nyílt tengerre , hogy fedélzeti tapasztalattal a legénység nem rendelkezik .
1	Az államfő , Putyin is tudja , hogy Oroszország egész védelmi rendszerét át kell gondolni .
4	Az amerikai elnök ígéretet tett arra , hogy megpróbálja elérni Nigéria 40 milliárd dolláros külföldi adósságának csökkentését a leggazdagabb országokat tömörítő Párizsi Klubnál .
4	A Kőolajexportáló Országok Szervezete ( OPEC ) jövő havi , venezuelai csúcsértekezletén erőfeszítéseket tesznek arra , hogy stabilizálják a kőolaj világpiaci árát - ígérte Abujában Olusegun Obasanjo nigériai államfő a Bill Clinton amerikai elnökkel tartott megbeszélések utáni közös sajtótájékoztatón .
2	Kisgazda forrásból származó információink szerint Wachsler lemondási szándékáról szerdán maga tájékoztatta Torgyán Józsefet , az FKGP elnökét .
5	Lányi Zsolt , az Országgyűlés honvédelmi bizottságának elnöke a hét elején is bírálta a tárcát a haderőreform átgondolatlansága és szervezetlen végrehajtása miatt .
5	A katolikus egyház egyetlen más vallást sem ismer el a katolicizmussal egyenrangúnak - áll a Vatikán által most kiadott teológiai dokumentumban .
5	A Magyar Igazság és Élet Pártja figyelemelterelő álkérdésnek tartja azt az ügyet , amely miatt a köztársasági elnök az Alkotmánybírósághoz fordult , ennek megfelelően nem is kíván foglalkozni vele .
3	Egy jugoszláv katonai rendőr pénteken Pogorica közelében egy bárban lelőtt egy szolgálaton kívüli montenegrói rendőrt .
10	Oroszországban tűz ütött ki vasárnapra virradóra a Szentpétervár melletti Puskino településen a haditengerészet légitámaszpontjának karbantartó üzemében .
3	Az egyik tetem olyan férfi holtteste , aki korábban találkozót szervezett újságírók számára az Abu Szajjaf vezetőivel , azok rejtekhelyén a hegyek között .
3	Lőtt sebekkel borított három holttestet találtak szerdán egy rendőrségi épület előtt a Fülöp-szigeteki Jolo szigetén , ahol a hadsereg 12. napja harcol a 17 túszt hatalmában tartó muzulmán lázadók ellen .
5	A hadsereg zárlat alá vonta Jolo szigetét .
1	"A fenyegető levelet egy állítólagos Hopp tábornok írta alá , aki harcot hirdetett "" valamennyi reformkommunista , azok segítői és külföldi támogatói ellen , valamint a Horvátországban szabadon élő minden csetnik ellen "" is ."
5	Rockenbauer Zoltán sajátosnak és nehezen értelmezhetőnek találta , hogy éppen a hosszú idő után elért , jelentős reálbéremelkedés idején szólítja fel a KKDSZ a lemondásra .
4	Orbán : ha Belgrádban felszáll egy gép , azt Budapesten észlelik A kormányfő kijelentette : nyugalom van a határokon , amit egyébként teljes egészében ellenőrzése alatt tart a Határőrség , beleértve a zöld határt is .
4	A miniszterelnök jelezte , hogy miután egyelőre nincs olyan miniszterelnöke Jugoszláviának , akivel tárgyalni lehetne , az államfők között történik az együttműködés , a párbeszéd .
4	Orbánék egyébként folyamatosan egyeztetnek a vajdasági magyarokkal , ők pedig az új jugoszláv-vezetéssel , köztük Vojislav Kostunica új államfővel folytatnak párbeszédet és arról számoltak be , hogy nyugalom van , nem fenyeget újabb etnikai konfliktus .
4	A magyar külpolitika álláspontja Orbán szavai szerint megegyezik a NATO-éval és az EU-éval , hazánk támogatja a gazdasági szankciók feloldását .
5	Az OPH szemtanúkra és fotóriporterekre hivatkozva megemlíti , hogy az ilyen akciók közeléből a hatóságok rendszeresen távol tartották a sajtó képviselőit , hogy ne készülhessen felvétel a provokációkról , melyek természetesen a cseh jog szerint is illegálisak .
2	Guy Verhofstadt miniszterelnök bizonyítványát magyarázva megjegyezte : az eredmény elmarad attól , amit a Flamand Tömb a parlamenti választásokon elért .
4	A párt a második legnagyobb politikai erő lett Belgium két legnagyobb városában - Antverpenben a szavazatok 33 százalékát szerezte meg .
5	Az államfő úgy vélekedett : a Jugoszlávia elnevezés 1992 óta meghaladott , hiszen a szlovének és a horvátok attól kezdve nem tagjai a délszláv szövetségnek .
5	Csehországban éles bírálatokat és nemtetszést váltott ki , hogy az osztrák parlament felszólította Wolfgang Schüssel kormányát : tegyen meg mindent annak érdekében , hogy a dél-csehországi temelíni atomerőművet soha ne helyezzék teljesen üzembe .
2	Matolcsy György gazdasági miniszter szerint ez a drágítás alig fél százalékkal növeli majd a 2001. évi inflációt .
10	Sima Ferenc , a Munkabiztonsági Felügyelőség az Indexnek elmondta , nagy valószínűséggel illegális román munkavállaló biztonsági öv és sisak nélkül mászott ki a tetőre , ahol megcsúszott , és mintegy 25 métert zuhant .
4	Véleménye szerint Lengyelország pozitív minősítést kap az uniós országjelentésben .
4	Kulcsfontosságúnak nevezte Lengyelországot az unió bővítése szempontjából Günter Verheugen , az EU bővítési biztosa .
3	Tizenkét pakisztáni katona meghalt és több megsebesült szombaton mikor a Kasmírt kettéosztó katonai vonal mentén az indiai katonasággal csaptak össze .
3	Papp Gyula elmondása szerint az országra nézve is szégyen , hogy koholt vádak alapján állították törvényszék elé a volt békefenntartó katonákat . ,
2	Távozik posztjáról Nógrádi László közlekedési és vízügyi miniszter ; utóda Fónagy János , a Miniszterelnöki Hivatal politikai államtitkára lesz .
1	A negyedik bíró rettent vissza Időközben immár a negyedik floridai bíró rettent vissza azoknak a beadványoknak az elbírálásától , amelyek kérik a Palm Beach megyei szavazólap megtévesztő voltának kimondását .
4	Bush lehet az elnök Az AP nem hivatalos adatai szerint George Bush republikánus elnökjelölt Floridában 388 szavazatkülönbséggel vezet Al Gore demokrata elnökjelölt előtt .
5	Hogy annak már csak erkölcsi jelentősége lesz-e , egyáltalán nem biztos , tekintettel arra a helyzetre , ami az Egyesült Államokban előállt .
10	Az orosz állami televízió értesülése szerint az 1.500 tonnás Nortlandia nevű hajó az ütközés után felborult , és tartályából 15 tonna dízelolaj ömlött a Finn-öbölbe .
4	Az olajtársaság közleménye szerint miközben a Mol felkészült a kitörés elfojtásának a következő szakaszára , késő délután rövid ideig fennálló kedvező helyzet , amikor is az elfojtást meg lehetett kísérelni .
4	Pusztaszőlősön a Mol szakemberei mentesítő fúrással behatoltak a sérült kút csövébe , s ezzel megkezdődhetett az augusztus 18-a óta tomboló kút elfojtása .
4	Ennek érdekében benyújtják törvénymódosító javaslatukat az országgyűlésnek , de elfogadásánál számítanak az ellenzékre is , hiszen ehhez kétharmados többség szükséges - hangzott el a Fidesz Országos Elnökségének pénteki sajtótájékoztatóján .
4	Deutsch Tamás elmondta , javaslatuk lényege , hogy folyamatosan nyomon követhető legyen a képviselők vagyoni helyzete .
4	Izrael állítólag hozzájárul ahhoz , hogy ENSZ-megfigyelők érkezzenek a megszállt palesztin terültekre - jelentette a Maariv izraeli napilapra hivatkozva a dpa német hírügynökség .
4	- Az MDF csak olyan választási megállapodást köt , amelyben önállóságához kétség nem fér , és a jelenleginél jóval nagyobb parlamenti frakció megalakítását teszi lehetővé - mondta a pártelnök .
2	Nem közeledtek az álláspontok a minimálbér 40 ezer forintra emeléséről az Országos Munkaügyi tanács ( OMT ) bér - és kollektív megállapodások bizottságának ülésén .
4	A közvélemény-kutatási adatok alapján az MSZP-nek jó esélye van arra , hogy a következő választások után átvegye a kormányzást - jelentette ki pénteken Gerhard Schröder német kancellár .
5	Járai Zsigmond pénzügyminiszter egyelőre nem hallott Szabadi Béla nevéről az MNB alelnöki posztjával összefüggésben , és , , hogy nem is fog hallani
4	"A jegybank elnöki posztjának legfőbb várományosa szerint "" a földművelésügyi tárcának nagy szüksége van Szabadi Béla munkájára "" ."
4	Mintegy 1,5 milliárd eurót fektettek be a külföldi befektetők Magyarországon az idei év első kilenc hónapjában , ami 46,8 százalékos növekedés az előző év azonos időszakához képest - közölte Pongorné Csákvári Marianna , a Gazdasági Minisztérium ( GM ) helyettes államtitkára pénteken Budapesten , sajtótájékoztatón .
4	Mindenesetre mind Chirac , mind Schröder azt hangsúlyozta , hogy a francia-német együttműködés zavartalan .
4	"Chirac , aki vendéglátóként , s az EU soros elnökeként az elmúlt napokban végiglátogatta a szervezet többi tagállamát , úgy vélekedett , hogy a körút során "" lassú előrehaladás "" történt , s immár mindenki jobban megérti a másik fél álláspontját ."
4	A szomszédos államokban élő magyarok kedvezményeiről szóló törvény évente legalább három hónap időtartamra lehetőséget biztosít majd a magyarországi munkavállalásra - erről a Határon Túli Magyarok Hivatalának alelnöke beszélt a Magyar Ifjúsági Konferencia ( MIK ) hétfői ülésén .
4	Az EU-tagországok állam - és kormányfői támogatásukról biztosították az Európai Bizottság bővítési stratégiai dokumentumát , egyetértve azzal a megállapítással , amely szerint 2002 végéig lezárhatók a csatlakozási tárgyalások az erre akkor készen álló tagjelöltekkel - közölte Pierre Moscovici európai ügyekért felelős francia társminiszter .
7	- Magyarország nem lehet büszke ebben a pillanatban - fogalmazott .
3	A moszkvai városházi közlésre hivatkozó Interfax szerint a város központjában délelőtt lőttek rá a moszkvai Forma-1-es pálya építéséért felelős polgármester-helyettes gépkocsijára .
4	Az izraeli tárgyalódelegáció jórészt elfogadta tárgyalási alapnak a Bill Clinton amerikai elnök által felvázolt közel-keleti rendezési tervet - mondta Slomo Ben Ami izraeli külügyminiszter csütörtökön Washingtonban , ahol amerikai közvetítéssel tárgyalások folynak a felek közt .
5	Vojiszlav Kostunica jugoszláv elnök szerint a három államalakulat laza szövetsége nem felel meg a jugoszláviai realitásoknak , mivel Jugoszlávia két köztársaságból áll , Koszovó pedig Szerbia része .
5	Az ENSZ főtitkára a Biztonsági Tanács előtt vetette fel e javaslatot , amely Szerbiában és Koszovóban egyaránt heves ellenállásba ütközött .
4	Szájer József , a Fidesz frakcióvezetője közölte , levélben tett tárgyalási ajánlatot az MSZP-nek arra , hogy tekintsék át a kétharmados többséget igénylő és az integrációs felkészüléssel kapcsolatos törvényeket .
5	Az Európai Unió egyes tisztviselői szerint újabb kereskedelmi nézeteltérés alakulhat ki az Unió és az Egyesült Államok között .
4	Négynapos munkaértekezletet tart szombattól az FKGP országos elnöksége a Földművelésügyi és Vidékfejlesztési Minisztérium gödi oktatási központjában .
5	Nabluszban a Hamasz hatezer híve gyűlt össze ; a radikális szervezet közleményében felszólította Jasszer Arafat palesztin elnököt a béketárgyalások megszakítására és az amerikai békejavaslat elutasítására .
5	A Hamasz elutasít minden javaslatot , amely nem ad teljes ellenőrzést a palesztinoknak Jeruzsálem felett és nem biztosítja a menekültek visszatérési jogát .
5	Egyik munkatársa a témával indokolta a titokká nyilvánítást , és bár Sepsey jogosult a feloldásra , csak azt tartotta elképzelhetőnek , hogy néhány résznél törlik a minősítést .
4	Kostunica meg akarja őrizni a föderációt , bár azon belül nagyobb önállóságot adna Szerbiának és Montenegrónak .
4	A két fél képvisel&otilde ; i csaknem egy hete folyamatosan konzultálnak egymással a Clinton által el&otilde ; terjesztett béketervr&otilde ; l. Szerdán Izrael újra feloldotta a Gáza-övezet blokádját ; a palesztin autonóm területet azt követ&otilde ; en zárta le a hadsereg , hogy hétf&otilde ; n meggyilkoltak egy zsidó telepest , társai pedig vandál bosszúhadjáratba kezdtek a helyi palesztinok ellen .
3	A belga külügyminiszter , Louis Michel tájékoztatása szerint azonban Kabila a kinshasai kórházban meghalt a hátát és a lábát ért lövések miatt .
4	Kölcsönös engedmények alapján megegyezett a MÁV a Vasutas Szakszervezetekkel az idei bérekről és azok elosztásáról .
5	A hágai Nemzetközi Törvényszéknek a legkevésbé sem áll szándékában , hogy átadja Vojislav Kostunica jugoszláv elnöknek azt a listát , amely az általa titokban vád alá helyezett személyek nevét tartalmazza .
4	Mikola István február 15-ére hívja össze a 2000 áprilisa óta szünetelő ágazati érdekegyeztető tanács plenáris ülését .
4	Korábban azt mondta a miniszterelnök , hogy a tabai tárgyalásokat követ&#337 ; en csak pár hónap kérdése a béke megkötése - jelentette az MTI .
4	Barak úgy nyilatkozott , hogy minden javaslatot megvizsgál egy csúcstalálkozó összehozására , ugyanakkor nem kötelezte el magát .
4	Az osztrák Die Presse értesülése szerint azonban Arafat már felkészült arra , hogy a szinte biztos gy&#337 ; ztes Saronnal folytassa a tárgyalásokat , és a választások másnapján akár már találkozhatnak is .
6	Lévai Anikó szerint a telefonáló nem igazán tisztafejű asszony lehet , hogy fel sem mérte , hogy mit tesz .
2	Annak ellenére , hogy az afrikai országok Földünk legfejletlenebb régiói közé tartoznak , mégis ötször annyi gyerek hal meg közlekedési balesetben a fekete kontinensen , mint az uniós országokban .
4	Az Egészségügyi Minisztérium becslése szerint , ha az érintettek élnek a lehetőséggel , akkor évente 1500-2000 ember idő előtti halála lesz elkerülhető .
2	Az MDF maga mondott nemet a Fidesz ajánlatára , amely harminc egyéni képviselő közös indítására vonatkozott , így ez a kérdés lekerült a napirendről - nyilatkozta az Indexnek Kövér László , a Fidesz-Magyar Polgári Párt elnöke .
4	Az elnöki szóvivő szerint a házi kezelés nem fogja akadályozni Havelt abban , hogy dolgozzon , politikusokat fogadjon .
5	Vele ért egyet Czelnai Rudolf , az MTA Földtudományok Osztályának munkatársa is , aki bár elismeri , hogy az emberi tevékenység növeli az üvegházhatást , merő spekulációnak nevezi azt , hogy ez globális felmelegedéshez vezetne .
5	Túl sok a bizonytalan tényező , és túl bonyolult a rendszer - magyarázta a szakértő az Indexnek .
5	Ez egy átmeneti állapot - fogalmazott a kisgazda politikus , utalva arra , hogy Bánk Attila szerint az FKGP képviselőcsoportjának csütörtöki ülése nem volt legitim .
4	Az UEFA-nak a klubok és a játékosok érdekeit is szem előtt kell tartani , hiszen kizárólag velük tehet szert rekordbevételre .
4	A szerzők a választási siker feltételeként hangsúlyozzák , hogy a párt elnöke és elnöksége az eddigieknél lényegesen határozottabban vezesse az MSZP-t .
2	A miniszterelnök kritikája nem elég határozott - A Fidesz vezette koalíció és személyesen a miniszterelnök valódi céljainak és tetteinek kritikája nem elég határozott , nem elég meggyőző - véli a két politikus .
5	A tüntetők megfogadták , hogy feltartóztatják a Franciaországból négy év óta első ízben érkező , atomhulladékot szállító vonatot .
